"SAMPN","VEHNO","YEAR","MAKE","O_MAKE","MODEL","BODY","O_BODY","FUEL","O_FUEL","USER","CNTV","O_CNTV","HHWGT","EXPWGT"
2000991,1,2003,20.00,,"EXPEDITION",3.00,,1.00,,1.00,2.00,"MAIL-IN",2.59,434.48
2000991,2,2006,20.00,,"ESCAPE",3.00,,3.00,,2.00,1.00,,2.59,434.48
2001003,1,2003,38.00,,"GALANT",1.00,,1.00,,1.00,1.00,,3.04,509.16
2001012,1,2000,50.00,,"CAMRY",1.00,,1.00,,1.00,1.00,,0.96,160.97
2001012,2,1999,50.00,,"CAMRY",1.00,,1.00,,2.00,1.00,,0.96,160.97
2001013,1,2008,50.00,,"MATRIX",1.00,,1.00,,3.00,1.00,,1.43,239.85
2001013,2,1997,48.00,,"IMPREZA",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.43,239.85
2001013,3,1998,20.00,,"RANGER",4.00,,1.00,,2.00,1.00,,1.43,239.85
2001025,1,2004,20.00,,"CROWN VICTORIA",1.00,,1.00,,1.00,2.00,"NOT NEEDED",0.89,149.82
2001025,2,2005,38.00,,"GALANT",1.00,,1.00,,2.00,2.00,"NOT NEEDED",0.89,149.82
2001025,3,2005,23.00,,"DK/RF",99.00,,1.00,,1.00,2.00,"NOT NEEDED",0.89,149.82
2001025,4,2008,24.00,,"ACCORD",1.00,,1.00,,99.00,1.00,,0.89,149.82
2001025,5,2008,50.00,,"AVALON",1.00,,1.00,,99.00,1.00,,0.89,149.82
2001054,1,2010,24.00,,"ACCORD",1.00,,1.00,,1.00,1.00,,1.81,303.04
2001060,1,2008,27.00,,"G35X",1.00,,1.00,,1.00,1.00,,0.74,125.18
2001060,2,2002,52.00,,"XC",3.00,,1.00,,2.00,1.00,,0.74,125.18
2001060,3,1969,97.00,"MG","MG",99.00,,1.00,,2.00,2.00,"NOT NEEDED",0.74,125.18
2001064,1,2000,13.00,,"Z3",1.00,,1.00,,1.00,1.00,,1.12,188.85
2001064,2,2001,50.00,,"4RUNNER",3.00,,1.00,,2.00,1.00,,1.12,188.85
2001066,1,2002,38.00,,"LANCER",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.43,239.56
2001066,2,2003,50.00,,"MATRIX",1.00,,1.00,,2.00,1.00,,1.43,239.56
2001070,1,2001,50.00,,"CAMRY",1.00,,1.00,,1.00,1.00,,1.72,289.05
2001074,1,2008,50.00,,"HIGHLANDER",3.00,,1.00,,1.00,1.00,,1.08,181.98
2001074,2,2008,39.00,,"ROGUE",3.00,,1.00,,2.00,1.00,,1.08,181.98
2001080,1,1999,50.00,,"CAMRY",1.00,,1.00,,1.00,1.00,,1.03,173.62
2001083,1,9998,52.00,,"DK/RF",1.00,,1.00,,2.00,1.00,,1.09,182.68
2001086,1,2008,11.00,,"CL",1.00,,1.00,,1.00,1.00,,1.43,239.02
2001086,2,2006,11.00,,"MDX",3.00,,1.00,,2.00,1.00,,1.43,239.02
