"SAMPN","VEHNO","YEAR","MAKE","O_MAKE","MODEL","BODY","O_BODY","FUEL","O_FUEL","USER","CNTV","O_CNTV","HHWGT","EXPWGT"
2091947,2,2010,20.00,"","FOCUS",1.00,"",1.00,"",98.00,2.00,"NOT NEEDED",0.78,131.12
2091958,1,2003,19.00,"","DAKOTA",4.00,"",1.00,"",1.00,1.00,,0.92,154.02
2091958,2,2008,32.00,"","KIA",1.00,"",1.00,"",2.00,1.00,,0.92,154.02
2091966,1,2003,24.00,"","METROPOLITAN",99.00,"",1.00,"",1.00,2.00,"BAD WEATHER",0.94,157.54
2091987,1,2002,48.00,"","FORESTER",3.00,"",1.00,"",1.00,1.00,,0.90,151.73
2091987,2,2004,13.00,"","325XI",1.00,"",1.00,"",2.00,1.00,,0.90,151.73
2092037,1,2003,97.00,"MINI COOPER","MINI COOPER",1.00,"",1.00,"",1.00,1.00,,0.60,100.81
2092037,2,2008,24.00,"","ODYSSEY",2.00,"",1.00,"",2.00,1.00,,0.60,100.81
2092049,1,2007,50.00,"","PRIUS",1.00,"",3.00,"",2.00,1.00,,0.53,89.67
2092049,2,2007,32.00,"","KIA",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.53,89.67
2092056,1,2004,20.00,"","TAURUS",1.00,"",1.00,"",3.00,1.00,,1.94,325.15
2092056,2,2000,16.00,"","CAVALIER",1.00,"",1.00,"",2.00,1.00,,1.94,325.15
2092062,1,2006,12.00,"","A3",1.00,"",1.00,"",1.00,1.00,,0.68,113.69
2092124,1,2006,51.00,"","PASSAT",1.00,"",1.00,"",2.00,2.00,"DK/RF",1.02,170.62
2092141,1,2004,50.00,"","CAMRY",1.00,"",1.00,"",1.00,1.00,,1.05,176.50
2092154,1,2006,50.00,"","RAV4",3.00,"",1.00,"",1.00,1.00,,0.77,130.27
2092154,2,2002,50.00,"","TACOMA",4.00,"",1.00,"",2.00,1.00,,0.77,130.27
2092163,1,1996,20.00,"","TAURUS",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.73,123.18
2092166,1,2004,48.00,"","OUTBACK",3.00,"",1.00,"",1.00,1.00,,0.70,117.76
2092166,2,2002,19.00,"","STRATUS",1.00,"",1.00,"",2.00,1.00,,0.70,117.76
2092167,1,2008,35.00,"","6",1.00,"",1.00,"",1.00,1.00,,1.40,234.65
2092177,1,2003,36.00,"","MERCEDES",99.00,"",1.00,"",1.00,1.00,,1.20,200.82
2092183,1,2000,16.00,,"MALIBU",1.00,,1.00,,99.00,1.00,,1.39,233.85
2092191,1,1995,35.00,"","B2300",4.00,"",1.00,"",1.00,1.00,,0.86,144.35
2092198,1,2002,20.00,"","TAURUS",1.00,"",1.00,"",1.00,1.00,,0.52,87.32
2092209,1,2004,24.00,"","CIVIC",1.00,"",1.00,"",2.00,1.00,,0.76,128.30
2092209,2,1998,24.00,"","CR-V",3.00,"",1.00,"",1.00,1.00,,0.76,128.30
2092228,1,2002,38.00,"","ECLIPSE",1.00,"",1.00,"",1.00,1.00,,0.77,130.27
2092228,2,9998,32.00,"","KIA",1.00,"",1.00,"",2.00,2.00,"USED DIFFERENT MODE OF TRANSPORTATION",0.77,130.27
2092247,1,1997,30.00,,"GRAND CHEROKEE",3.00,,1.00,,99.00,1.00,,1.25,208.99
2092270,1,1999,46.00,"","COUPE",1.00,"",1.00,"",1.00,1.00,,0.57,96.58
2092270,2,2009,30.00,"","UNLIMITED",3.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.57,96.58
2092270,3,2005,23.00,"","HARLEY DAVIDSON",7.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.57,96.58
2092270,4,2008,23.00,"","HARLEY DAVIDSON",7.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.57,96.58
2092281,1,1999,50.00,"","COROLLA",1.00,"",1.00,"",2.00,1.00,,1.02,170.62
2092323,1,2000,22.00,"","SIERRA",4.00,"",1.00,"",1.00,2.00,"MAIL-IN",0.98,164.73
2092323,2,1999,24.00,"","ACCORD",1.00,"",1.00,"",2.00,1.00,,0.98,164.73
2092336,1,2007,50.00,"","YARIS",1.00,"",1.00,"",1.00,1.00,,1.05,177.13
2092338,1,2007,37.00,"","MOUNTAINEER",3.00,"",1.00,"",1.00,1.00,,1.24,208.49
2092360,1,2005,20.00,"","ESCAPE",3.00,"",1.00,"",1.00,1.00,,0.85,142.70
2092367,1,2010,35.00,"","3",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.80,134.17
2092367,2,2006,35.00,"","3",1.00,"",1.00,"",2.00,1.00,,0.80,134.17
2092373,1,2003,24.00,"","CIVIC",1.00,"",3.00,"",1.00,1.00,,0.92,154.94
2092379,1,2007,35.00,"","CX7",3.00,"",1.00,"",2.00,1.00,,0.81,136.78
2092379,2,2004,35.00,"","RX8",1.00,"",1.00,"",1.00,1.00,,0.81,136.78
2092386,1,2001,39.00,,"PATHFINDER",3.00,,1.00,,99.00,1.00,,1.23,206.55
2092386,2,2010,26.00,,"130T",99.00,,1.00,,99.00,1.00,,1.23,206.55
2092387,1,2010,13.00,"","325CI",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.75,126.93
2092387,2,2007,50.00,"","4RUNNER",3.00,"",1.00,"",2.00,1.00,,0.75,126.93
2092392,1,2004,24.00,"","CR-V",3.00,"",1.00,"",1.00,1.00,,0.71,119.36
2092393,1,2008,19.00,"","RAM PICK UP",4.00,"",1.00,"",1.00,1.00,,0.92,154.63
2092393,2,2008,30.00,"","WRANGLER",3.00,"",1.00,"",2.00,1.00,,0.92,154.63
2092393,3,2002,23.00,"","DK/RF",99.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.92,154.63
2092424,1,2005,16.00,"","EQUINOX",3.00,"",1.00,"",2.00,1.00,,0.98,164.73
2092424,2,2003,20.00,"","E250",2.00,"",1.00,"",1.00,1.00,,0.98,164.73
2092429,1,1987,52.00,"","740 GLE",99.00,"",1.00,"",2.00,1.00,,1.35,225.73
2092459,1,2004,42.00,"","SUNFIRE",1.00,"",1.00,"",1.00,1.00,,1.10,185.39
2092467,1,1999,24.00,"","ACCORD",1.00,"",1.00,"",1.00,1.00,,1.02,171.03
2092467,2,2001,27.00,"","135",1.00,"",1.00,"",2.00,1.00,,1.02,171.03
2092467,3,2007,39.00,"","ALTIMA",1.00,"",1.00,"",3.00,1.00,,1.02,171.03
2092476,1,2008,51.00,"","PASSAT",1.00,"",1.00,"",2.00,1.00,,0.71,119.10
2092476,2,2008,51.00,"","RABBIT",1.00,"",1.00,"",1.00,1.00,,0.71,119.10
2092476,3,2009,13.00,"","MOTORCYCLE",7.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.71,119.10
2092523,1,1999,41.00,"","DK/RF",99.00,"",1.00,"",1.00,1.00,,1.10,185.39
2092533,1,2004,35.00,"","3",1.00,"",1.00,"",1.00,1.00,,0.82,137.48
2092544,1,2003,35.00,,"PROTÉGÉ",1.00,,1.00,,99.00,1.00,,0.70,117.44
2092564,1,2010,11.00,,"MDX",3.00,,1.00,,99.00,1.00,,0.85,142.69
2092564,2,2000,36.00,,"E CLASS",1.00,,1.00,,99.00,1.00,,0.85,142.69
2092578,1,2008,26.00,,"SONATA",1.00,,1.00,,99.00,1.00,,0.80,134.57
2092578,2,2002,26.00,,"ELANTRA",1.00,,1.00,,99.00,2.00,"MAIL-IN",0.80,134.57
2092652,1,2001,24.00,"","ODYSSEY",2.00,"",1.00,"",1.00,1.00,,0.85,142.69
2092652,2,2008,50.00,"","CAMRY",1.00,"",3.00,"",2.00,2.00,"NOT NEEDED",0.85,142.69
2092656,1,2008,48.00,"","OUTBACK",3.00,"",1.00,"",2.00,1.00,,0.85,142.69
2092656,2,2003,51.00,"","JETTA",1.00,"",1.00,"",1.00,1.00,,0.85,142.69
2092768,1,2002,24.00,"","ACCORD",1.00,"",1.00,"",1.00,1.00,,0.70,118.64
2092768,2,2008,48.00,"","IMPREZA",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.70,118.64
2092791,1,1996,35.00,"","PROTÉGÉ",1.00,"",1.00,"",2.00,1.00,,0.76,127.81
2092799,1,2008,50.00,"","AVALON",1.00,"",1.00,"",1.00,1.00,,0.42,70.48
2092799,2,2006,50.00,"","SIENNA",2.00,"",1.00,"",1.00,2.00,"DID NOT TRAVEL",0.42,70.48
2092799,3,1990,36.00,"","MERCEDES",99.00,"",1.00,"",1.00,2.00,"DID NOT TRAVEL",0.42,70.48
2092799,4,2006,50.00,"","COROLLA",1.00,"",1.00,"",3.00,1.00,,0.42,70.48
2092884,1,2000,20.00,"","F-150",4.00,"",1.00,"",1.00,1.00,,0.64,108.43
2092884,2,2005,23.00,"","HARLEY DAVIDSON",7.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.64,108.43
2092939,1,2005,24.00,"","ELEMENT",3.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.88,147.78
2092956,1,2010,11.00,"","MDX",3.00,"",1.00,"",1.00,1.00,,0.98,165.17
2093019,1,2000,37.00,,"GRAND MARQUIS",1.00,,1.00,,1.00,2.00,"MAIL-IN",1.12,188.36
2093019,2,1992,50.00,,"CAMRY",1.00,,1.00,,2.00,1.00,,1.12,188.36
2093036,1,2009,46.00,"","VUE",3.00,"",1.00,"",1.00,1.00,,0.71,119.64
2093036,2,2000,20.00,"","CONTOUR",1.00,"",1.00,"",3.00,1.00,,0.71,119.64
2093036,3,2000,22.00,"","PICK UP TRUCK",4.00,"",1.00,"",1.00,2.00,"DK/RF",0.71,119.64
2093039,1,2008,24.00,"","ACCORD",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.60,100.74
2093039,2,2008,30.00,"","LIBERTY",3.00,"",1.00,"",2.00,1.00,,0.60,100.74
2093039,3,2005,97.00,"VICTORY","MOTORCYCLE",7.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.60,100.74
2093072,1,2010,50.00,"","CAMRY",1.00,"",1.00,"",1.00,1.00,,0.85,143.32
2093072,2,2006,16.00,"","SILVERADO",4.00,"",1.00,"",3.00,1.00,,0.85,143.32
2093072,3,2001,16.00,"","IMPALA",1.00,"",1.00,"",4.00,1.00,,0.85,143.32
2093072,4,2000,16.00,"","BRAVADA",3.00,"",1.00,"",2.00,1.00,,0.85,143.32
2093079,1,2008,50.00,"","PRIUS",1.00,"",3.00,"",1.00,1.00,,0.79,132.31
2093079,2,2001,15.00,"","DEVILLE",1.00,"",1.00,"",2.00,1.00,,0.79,132.31
2093079,3,2011,20.00,"","FUSION",1.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.79,132.31
2093087,1,1999,50.00,"","CAMRY",1.00,"",1.00,"",3.00,1.00,,0.93,156.59
2093087,2,2002,46.00,"","SEDAN - L SERIES  S SERIES",1.00,"",1.00,"",3.00,1.00,,0.93,156.59
2093092,1,2009,24.00,"","ACCORD",1.00,"",1.00,"",2.00,1.00,,0.61,102.15
2093092,2,2006,30.00,"","COMMANDER",5.00,"",1.00,"",1.00,1.00,,0.61,102.15
2093097,1,2008,16.00,"","IMPALA",1.00,"",1.00,"",1.00,1.00,,0.41,69.34
2093097,2,2002,20.00,"","TAURUS WAGON",1.00,"",1.00,"",2.00,1.00,,0.41,69.34
2093097,3,1957,16.00,"","BELAIRE",1.00,"",1.00,"",2.00,2.00,"SUMMER VEHICLE",0.41,69.34
2093102,1,2007,51.00,"","PASSAT",1.00,"",1.00,"",1.00,1.00,,0.81,136.78
2093102,2,2010,48.00,"","FORESTER",3.00,"",1.00,"",2.00,1.00,,0.81,136.78
2093112,1,2003,39.00,"","MAXIMA",1.00,"",1.00,"",1.00,1.00,,0.84,140.39
2093112,2,2006,48.00,"","TRIBECA",3.00,"",1.00,"",2.00,1.00,,0.84,140.39
2093117,1,2006,24.00,"","ACCORD",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.80,135.17
2093117,2,2008,50.00,"","TUNDRA",4.00,"",1.00,"",1.00,1.00,,0.80,135.17
2093150,1,2010,39.00,"","ALTIMA",1.00,"",1.00,"",1.00,1.00,,0.94,158.61
2093150,2,2007,24.00,"","ACCORD",1.00,"",1.00,"",2.00,1.00,,0.94,158.61
2093150,3,2003,35.00,"","DK/RF",1.00,"",1.00,"",3.00,1.00,,0.94,158.61
2093150,4,2004,16.00,"","IMPALA",1.00,"",1.00,"",4.00,1.00,,0.94,158.61
2093157,1,1995,40.00,"","CUTLASS SIERRA",1.00,"",1.00,"",1.00,1.00,,0.57,95.40
2093157,2,1992,40.00,"","CUTLASS SIERRA",1.00,"",1.00,"",2.00,1.00,,0.57,95.40
2093160,1,2010,24.00,"","PILOT",3.00,"",1.00,"",1.00,1.00,,0.59,99.67
2093160,2,2003,24.00,"","ELEMENT",3.00,"",1.00,"",3.00,2.00,"MAIL-IN",0.59,99.67
2093160,3,1999,41.00,"","GRAND VOYAGER",2.00,"",1.00,"",2.00,2.00,"MAIL-IN",0.59,99.67
2093170,1,2011,20.00,"","MUSTANG",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",1.04,175.01
2093170,2,2008,17.00,"","300C",1.00,"",1.00,"",2.00,1.00,,1.04,175.01
2093198,1,1997,33.00,"","ES",1.00,"",1.00,"",1.00,1.00,,1.16,194.47
2093205,1,2006,39.00,"","SENTRA",1.00,"",1.00,"",1.00,1.00,,1.05,175.91
2093205,2,1998,20.00,"","CONTOUR",1.00,"",1.00,"",3.00,2.00,"DID NOT TRAVEL",1.05,175.91
2093207,1,2004,14.00,,"LESABRE",1.00,,1.00,,99.00,1.00,,0.59,98.65
2093207,2,1998,19.00,,"CARAVAN",2.00,,1.00,,99.00,1.00,,0.59,98.65
2093207,3,1989,16.00,,"S-10 PICK UP",4.00,,1.00,,99.00,1.00,,0.59,98.65
2093208,1,1999,51.00,,"PASSAT",1.00,,1.00,,1.00,1.00,,1.06,178.00
2093236,1,2002,16.00,"","S-10 PICK UP",4.00,"",1.00,"",1.00,1.00,,1.34,224.76
2093236,2,2007,30.00,"","GRAND CHEROKEE",3.00,"",1.00,"",2.00,1.00,,1.34,224.76
2093237,1,2007,33.00,"","GX470",3.00,"",1.00,"",2.00,1.00,,1.10,185.07
2093237,2,2010,33.00,"","ES350",1.00,"",1.00,"",2.00,1.00,,1.10,185.07
2093244,1,1996,52.00,"","DK/RF",1.00,"",1.00,"",1.00,1.00,,0.73,123.18
2093256,1,2006,17.00,,"TOWN & COUNTRY",2.00,,1.00,,1.00,1.00,,0.98,164.83
2093256,2,2008,52.00,,"S80",1.00,,1.00,,2.00,2.00,"NOT NEEDED",0.98,164.83
2093270,1,2004,50.00,,"CAMRY",1.00,,1.00,,2.00,1.00,,0.86,144.10
2093270,2,1999,39.00,,"MAXIMA",1.00,,1.00,,1.00,1.00,,0.86,144.10
2093271,1,2000,27.00,"","QX4",3.00,"",1.00,"",1.00,1.00,,0.59,100.21
2093271,2,1996,30.00,"","GRAND CHEROKEE",3.00,"",1.00,"",2.00,1.00,,0.59,100.21
2093271,3,2007,30.00,"","GRAND CHEROKEE",3.00,"",1.00,"",3.00,1.00,,0.59,100.21
2093271,4,1999,42.00,"","GRAND AM",1.00,"",1.00,"",4.00,1.00,,0.59,100.21
2093271,5,2009,20.00,"","ESCAPE",3.00,"",1.00,"",4.00,2.00,"NOT NEEDED",0.59,100.21
2093297,1,2010,30.00,"","WRANGLER",3.00,"",1.00,"",1.00,1.00,,0.86,144.10
2093297,2,2003,19.00,"","CARAVAN",2.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.86,144.10
2093306,1,2003,24.00,"","CIVIC",1.00,"",1.00,"",2.00,1.00,,0.53,88.88
2093306,2,2005,19.00,"","CARAVAN",2.00,"",1.00,"",1.00,1.00,,0.53,88.88
2093306,3,2008,53.00,"","MOPED",97.00,"MOPED",1.00,"",98.00,2.00,"NOT NEEDED",0.53,88.88
2093313,1,2008,32.00,"","KIA",1.00,"",1.00,"",1.00,1.00,,0.58,96.96
2093313,2,1996,39.00,"","MAXIMA",1.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.58,96.96
2093318,1,1991,24.00,"","CIVIC",1.00,"",1.00,"",2.00,1.00,,1.13,189.24
2093318,2,2006,17.00,"","TOWN & COUNTRY",2.00,"",1.00,"",1.00,1.00,,1.13,189.24
2093367,1,2000,52.00,"","V40",1.00,"",1.00,"",1.00,2.00,"MAIL-IN",0.65,109.64
2093367,2,2001,27.00,"","DK/RF",2.00,"",1.00,"",2.00,1.00,,0.65,109.64
2093367,3,2002,50.00,"","CAMRY",1.00,"",1.00,"",3.00,2.00,"MAIL-IN",0.65,109.64
2093367,4,2008,39.00,"","DK/RF",1.00,"",1.00,"",4.00,1.00,,0.65,109.64
2093372,1,1994,46.00,"","SEDAN - L SERIES  S SERIES",1.00,"",1.00,"",2.00,1.00,,0.70,118.64
2093372,2,2003,37.00,"","GRAND MARQUIS",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.70,118.64
2093386,1,1992,22.00,"","1500 PICK UP",4.00,"",1.00,"",1.00,1.00,,0.57,96.05
2093386,2,2005,20.00,"","ESCAPE",3.00,"",1.00,"",2.00,1.00,,0.57,96.05
2093386,3,2003,23.00,"","1200 CUSTOM",7.00,"",1.00,"",1.00,2.00,"BAD WEATHER",0.57,96.05
2093396,1,2002,20.00,"","F-250",4.00,"",2.00,"",1.00,1.00,,0.76,128.11
2093396,2,2001,20.00,"","EXPLORER",3.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.76,128.11
2093396,3,2000,20.00,"","MUSTANG",1.00,"",1.00,"",3.00,2.00,"NOT NEEDED",0.76,128.11
2093396,4,2005,20.00,"","MUSTANG",1.00,"",1.00,"",4.00,1.00,,0.76,128.11
2093410,1,2005,24.00,,"PILOT",3.00,,1.00,,1.00,1.00,,0.64,108.57
2093410,2,2007,13.00,,"328XI",1.00,,1.00,,2.00,1.00,,0.64,108.57
2093410,3,2000,51.00,,"PASSAT",1.00,,1.00,,3.00,1.00,,0.64,108.57
2093429,1,2006,50.00,"","SIENNA",2.00,"",1.00,"",2.00,1.00,,0.91,152.51
2093429,2,1999,39.00,"","ALTIMA",1.00,"",1.00,"",1.00,1.00,,0.91,152.51
2093432,1,2004,20.00,"","FOCUS",1.00,"",1.00,"",3.00,1.00,,0.81,136.78
2093432,2,2008,24.00,"","CIVIC",1.00,"",1.00,"",1.00,1.00,,0.81,136.78
2093456,1,2006,14.00,"","RENDEZVOUS",3.00,"",1.00,"",1.00,1.00,,0.55,92.35
2093456,2,2002,27.00,"","I30",1.00,"",1.00,"",2.00,1.00,,0.55,92.35
2093463,1,2008,12.00,"","A4",1.00,"",1.00,"",1.00,1.00,,0.87,146.86
2093463,2,2007,35.00,"","CX7",3.00,"",1.00,"",2.00,1.00,,0.87,146.86
2093471,1,1999,50.00,"","CAMRY",1.00,"",1.00,"",1.00,1.00,,0.60,100.81
2093471,2,1998,48.00,"","OUTBACK",3.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.60,100.81
2093472,1,2001,17.00,"","PT CRUISER",1.00,"",1.00,"",2.00,1.00,,0.55,92.56
2093472,2,1994,15.00,"","FLEETWOOD",1.00,"",1.00,"",1.00,1.00,,0.55,92.56
2093472,3,2003,13.00,"","Z4",1.00,"",1.00,"",1.00,2.00,"DK/RF",0.55,92.56
2093472,4,2009,16.00,"","MALIBU",1.00,"",1.00,"",1.00,2.00,"DK/RF",0.55,92.56
2093528,1,2001,28.00,"","RODEO",3.00,"",1.00,"",1.00,1.00,,1.21,203.22
2093528,2,2009,39.00,"","XTERRA",3.00,"",1.00,"",2.00,1.00,,1.21,203.22
2093551,1,1998,50.00,"","4RUNNER",3.00,"",1.00,"",1.00,2.00,"DK/RF",0.64,108.04
2093551,2,1998,20.00,"","VAN",2.00,"",1.00,"",2.00,1.00,,0.64,108.04
2093551,3,2003,39.00,"","PATHFINDER",3.00,"",1.00,"",1.00,2.00,"DK/RF",0.64,108.04
2093551,4,2007,23.00,,"MOTORCYCLE",7.00,"",1.00,"",2.00,2.00,"DK/RF",0.64,108.04
2093551,5,2001,53.00,"","MOTORCYCLE",7.00,"",1.00,"",2.00,2.00,"DK/RF",0.64,108.04
2093552,1,1999,35.00,"","MIATA",1.00,"",1.00,"",1.00,2.00,"MAIL-IN",0.60,101.84
2093552,2,2004,24.00,"","CIVIC",1.00,"",1.00,"",1.00,1.00,,0.60,101.84
2093552,3,2010,24.00,"","ODYSSEY",2.00,"",1.00,"",2.00,1.00,,0.60,101.84
2093553,1,2006,50.00,"","CAMRY",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.75,126.93
2093553,2,2005,24.00,"","PILOT",3.00,"",1.00,"",2.00,1.00,,0.75,126.93
2093564,1,2000,37.00,"","MOUNTAINEER",3.00,"",1.00,"",1.00,1.00,,0.78,131.86
2093564,2,2005,19.00,"","RAM PICK UP",4.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.78,131.86
2093564,3,2005,20.00,"","HOLIDAY RANDLER MOTOR HOME",6.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.78,131.86
2093564,4,1997,24.00,"","MOTORCYCLE",7.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.78,131.86
2093564,5,1984,49.00,"","MOTORCYCLE",7.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.78,131.86
2093580,1,2008,50.00,,"CAMRY",1.00,,1.00,,99.00,1.00,,0.77,128.80
2093580,2,2007,46.00,,"VUE",3.00,,1.00,,99.00,1.00,,0.77,128.80
2093590,1,2009,50.00,"","SIENNA",2.00,"",1.00,"",1.00,1.00,,0.86,144.10
2093590,2,1997,20.00,"","EXPLORER",3.00,"",1.00,"",2.00,1.00,,0.86,144.10
2093593,1,1997,20.00,"","TAURUS",1.00,"",1.00,"",2.00,1.00,,1.01,169.19
2093601,1,2006,27.00,"","FX35",3.00,"",1.00,"",1.00,1.00,,0.87,146.53
2093601,2,2007,43.00,"","CAYMAN",99.00,"",1.00,"",2.00,1.00,,0.87,146.53
2093630,1,2002,48.00,"","FORESTER",3.00,"",1.00,"",1.00,1.00,,0.59,99.18
2093630,2,2005,24.00,"","PILOT",3.00,"",1.00,"",2.00,1.00,,0.59,99.18
2093653,1,2005,20.00,"","FREESTYLE",3.00,"",1.00,"",1.00,1.00,,0.62,105.22
2093653,2,2000,20.00,"","RANGER",4.00,"",1.00,"",2.00,1.00,,0.62,105.22
2093676,1,2001,24.00,"","ODYSSEY",2.00,"",1.00,"",1.00,1.00,,0.55,92.63
2093676,2,2002,51.00,"","PASSAT",1.00,"",1.00,"",2.00,1.00,,0.55,92.63
2093686,1,2005,26.00,"","ELANTRA",1.00,"",1.00,"",1.00,1.00,,1.07,178.95
2093698,1,2001,24.00,"","XL",99.00,"",1.00,"",1.00,1.00,,0.63,105.44
2093698,2,1995,29.00,"","DK/RF",1.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.63,105.44
2093698,3,2003,17.00,"","SEBRING",1.00,"",1.00,"",3.00,2.00,"NOT NEEDED",0.63,105.44
2093698,4,2003,22.00,"","YUKON DENALI",3.00,"",1.00,"",4.00,2.00,"NOT NEEDED",0.63,105.44
2093698,5,2000,24.00,"","MOTORCYCLE",7.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.63,105.44
2093703,1,2010,51.00,"","ROUTAN",2.00,"",1.00,"",2.00,1.00,,0.86,144.10
2093703,2,2010,50.00,"","CAMRY",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.86,144.10
2093709,1,2002,48.00,"","FORESTER",3.00,"",1.00,"",2.00,1.00,,0.59,99.18
2093709,2,2004,24.00,"","CIVIC",1.00,"",1.00,"",1.00,1.00,,0.59,99.18
2093727,1,9998,13.00,"","DK/RF",1.00,"",1.00,"",2.00,1.00,,0.45,75.47
2093727,2,2007,24.00,"","ODYSSEY",2.00,"",1.00,"",1.00,2.00,"MAIL-IN",0.45,75.47
2093727,3,2001,12.00,"","DK/RF",1.00,"",1.00,"",5.00,1.00,,0.45,75.47
2093750,1,2007,50.00,"","PRIUS",1.00,"",3.00,"",1.00,1.00,,0.91,152.22
2093750,2,2006,50.00,"","SIENNA",2.00,"",1.00,"",2.00,1.00,,0.91,152.22
2093752,1,2003,24.00,"","ACCORD",1.00,"",1.00,"",1.00,1.00,,0.59,99.12
2093752,2,2011,24.00,"","ODYSSEY",2.00,"",1.00,"",2.00,1.00,,0.59,99.12
2093752,3,2008,26.00,"","ELANTRA",1.00,"",1.00,"",3.00,2.00,"NOT NEEDED",0.59,99.12
2093753,1,2009,50.00,"","CAMRY",1.00,"",1.00,"",1.00,1.00,,0.60,100.81
2093753,2,2004,50.00,"","SIENNA",2.00,"",1.00,"",2.00,1.00,,0.60,100.81
2093756,1,1995,36.00,"","MERCEDES",99.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.77,129.00
2093756,2,1995,97.00,"SOLEXTRIA","DK/RF",1.00,"",7.00,"ELECTRIC",1.00,2.00,"NOT NEEDED",0.77,129.00
2093758,1,2001,39.00,"","ROGUE",3.00,"",1.00,"",1.00,1.00,,1.06,178.06
2093777,1,2006,50.00,"","SIENNA",2.00,"",1.00,"",2.00,1.00,,0.57,96.58
2093777,2,2006,13.00,"","530I",1.00,"",1.00,"",1.00,1.00,,0.57,96.58
2093777,3,1995,52.00,"","850",1.00,"",1.00,"",1.00,2.00,"NOT NEEDED",0.57,96.58
2093788,1,1995,37.00,"","GRAND MARQUIS",1.00,"",1.00,"",1.00,1.00,,1.12,188.36
2093788,2,2003,16.00,"","VENTURE",2.00,"",1.00,"",2.00,1.00,,1.12,188.36
2093802,1,2002,19.00,"","DURANGO",3.00,"",1.00,"",1.00,2.00,"MAIL-IN",0.68,114.42
2093802,2,2000,19.00,"","CARAVAN",2.00,"",1.00,"",2.00,1.00,,0.68,114.42
2093802,3,1989,17.00,"","K CAR",99.00,"",1.00,"",98.00,2.00,"MAIL-IN",0.68,114.42
2093802,4,1989,16.00,"","RV",99.00,"",1.00,"",2.00,2.00,"MAIL-IN",0.68,114.42
2093803,1,2003,39.00,"","MURANO",3.00,"",1.00,"",1.00,1.00,,0.79,132.39
2093803,2,2003,35.00,"","MPV",2.00,"",1.00,"",2.00,1.00,,0.79,132.39
2093818,1,9998,98.00,"","TRUCK",4.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.40,68.23
2093818,2,9998,98.00,"","CAR",1.00,"",1.00,"",1.00,1.00,,0.40,68.23
2093818,3,2001,20.00,"","FOCUS",1.00,"",1.00,"",98.00,1.00,,0.40,68.23
2093818,4,9998,20.00,"","TAURUS",1.00,"",1.00,"",98.00,2.00,"NOT NEEDED",0.40,68.23
2093827,1,1997,20.00,"","E250",2.00,"",1.00,"",1.00,1.00,,1.00,167.87
2093829,1,2003,20.00,"","TAURUS",1.00,"",1.00,"",1.00,1.00,,0.89,148.93
2093829,2,2004,52.00,"","S40",1.00,"",1.00,"",2.00,2.00,"NOT NEEDED",0.89,148.93
2093849,1,2010,50.00,"","RAV4",3.00,"",1.00,"",1.00,1.00,,0.59,99.18
2093849,2,2004,11.00,"","TSX",1.00,"",1.00,"",2.00,1.00,,0.59,99.18
2093875,1,2009,50.00,"","PRIUS",1.00,"",1.00,"",1.00,1.00,,0.85,142.69
2093875,2,2006,35.00,"","SPEED 6",1.00,"",1.00,"",2.00,1.00,,0.85,142.69
2093909,1,2001,20.00,"","F-150",4.00,"",1.00,"",1.00,1.00,,0.83,138.72
2093909,2,2009,50.00,"","HIGHLANDER",3.00,"",1.00,"",2.00,1.00,,0.83,138.72
2093909,3,2000,37.00,"","GRAND MARQUIS",1.00,"",1.00,"",3.00,1.00,,0.83,138.72
